,Property Name,Sector,Price,Built Up Area,Bedroom,Bathroom,Balcony,Floor Num,Total Floor,Property Age,URL,Furnishing,Covered_Parking,Open_Parking,Total Parking,Rating,Power Backup,Facing,Overlooking,Extra_Rooms,NearbyPlaces
0,Vipul Lavanya,Sector 81,1.05,1031,2,2,2,10,14,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1250-sq-ft-r2-spid-K80810329,1,1,0,1,3.6000000000000005,1,North,Club,0,"['Millennium City Centre Gurugram', 'Town Square 2', 'Manesar Road', 'Sh. S. N. Sidheshwar Sr. Sec. Public', 'Singhania University']"
1,Sare Crescent Parc Royal Greens Phase 1,Sector 92,1.29,1305,3,3,2,6,7,3,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sare-crescent-parc-royal-greens-phase-1-sector-92-gurgaon-1469-sq-ft-r3-spid-O79362959,1,1,0,1,3.74,1,North-East,Club,3,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump']"
2,Orris Carnation Residency,Sector 85,1.05,1032,2,2,2,11,12,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-orris-carnation-residency-sector-85-gurgaon-1115-sq-ft-r3-spid-L78898929,1,1,0,1,3.8,1,North,Club,0,"['Omaxe Celebration Mall within reach', 'Nearby Lotus Valley International School', 'The Shri Ram School Aravali', 'Close to ARC Multi Specialty Hospital']"
3,Sare Homes,Sector 92,1.48,1574,3,3,4,13,20,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1526-sq-ft-r3-spid-R78269557,0,1,0,1,3.78,1,North,Club,1,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump']"
4,Vipul Lavanya,Sector 81,1.4,1444,3,3,3,12,14,3,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1560-sq-ft-r2-spid-S80809531,1,1,0,1,3.6000000000000005,1,North,Pool,1,"['Millennium City Centre Gurugram', 'Town Square 2', 'Manesar Road', 'Sh. S. N. Sidheshwar Sr. Sec. Public', 'Singhania University']"
5,Sare Sports Parc,Sector 92,1.95,1938,4,4,3,1,18,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sare-sports-parc-sector-92-gurgaon-2093-sq-ft-r3-spid-R79365161,0,1,0,1,4.12,1,North-East,Club,1,"['Reliance Trends Newtown Square Mall', 'Dwarka Expy, Gurugram', 'Pranavananda International School', 'SGT UNIVERSITY']"
6,Sare Homes,Sector 92,1.4,1367,3,2,2,6,20,1,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1326-sq-ft-r3-spid-U78268611,0,1,0,1,3.66,1,North,Park,1,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump']"
7,Sare Green ParC 4,Sector 92,1.9,2061,4,4,2,4,18,2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sare-green-parc-4-sector-92-gurgaon-2226-sq-ft-r3-spid-V79365523,0,2,0,2,3.64,1,North-East,Club,1,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump']"
8,KLJ Square,Sector 83,0.695,309,1,1,0,2,7,1,https://www.99acres.com/studio-apartment-flat-for-sale-in-klj-square-sector-83-gurgaon-300-sq-ft-spid-D83624232,0,1,0,1,3.96,0,Unknown,Park,0,"['S.R.S. Hospital and Critical Care Unit', 'Orris Community Center', 'Petrol Pump Indian Oil', 'Petrol Pump Indian Oil', 'Petrol Pump']"
9,Antriksh Heights,Sector 84,0.9,1111,2,2,3,9,19,3,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-r3-spid-V79363689,1,1,0,1,3.8,1,North,Main Road,0,"['Millennium City', 'Sapphire 83', 'NH 48', 'Delhi Public School', 'Dhamma Dipa International', 'Aarvy Healthcare hospital']"
11,TARC Maceo,Sector 91,1.45,1213,2,2,3,12,13,2,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tarc-maceo-sector-91-gurgaon-1310-sq-ft-r5-spid-V77413555,2,0,2,2,4.0,1,North,Club,1,"['Manish Gallexie 91', 'Dwarka Expressway', 'Rao Bharat Singh International School', 'Dronacharya College of Engineering']"
